pH,Moisture (%),Bearing Capacity (kN/m²),Soil Type
7.55,49.43,327.39,Loamy
8.09,10.7,187.39,Loamy
8.08,7.21,328.29,Clay
8.61,5.24,317.63,Loamy
7.68,40.86,406.23,Silty
7.06,10.13,283.04,Sandy
7.77,27.61,168.63,Peaty
8.34,10.72,192.4,Peaty
8.16,29.79,113.24,Peaty
5.0,16.23,380.64,Loamy
4.51,47.23,285.12,Sandy
7.95,30.93,210.42,Peaty
4.95,25.66,55.26,Silty
4.58,39.45,232.26,Peaty
8.68,46.88,179.18,Peaty
8.4,36.11,291.66,Clay
8.53,29.95,129.42,Silty
4.93,18.36,393.66,Silty
7.11,39.12,402.06,Sandy
7.53,19.07,106.62,Clay
5.48,29.05,410.72,Loamy
8.2,38.38,433.93,Loamy
5.61,49.48,353.72,Loamy
4.58,29.19,242.64,Sandy
6.41,19.59,230.76,Loamy
5.64,31.05,436.16,Silty
4.85,29.84,58.9,Peaty
8.08,18.18,218.58,Loamy
8.03,48.88,314.3,Silty
7.69,10.65,363.6,Silty
7.66,29.13,132.1,Peaty
8.7,16.76,232.88,Peaty
7.82,40.94,375.24,Peaty
6.13,42.94,171.68,Silty
4.97,25.54,121.95,Silty
8.21,15.74,160.99,Sandy
6.62,11.34,253.97,Loamy
8.18,38.9,432.52,Sandy
6.94,5.71,211.89,Loamy
5.48,12.94,142.17,Sandy
8.98,18.15,246.69,Silty
8.34,41.49,161.6,Clay
4.79,49.62,240.88,Loamy
6.72,41.65,191.42,Loamy
4.72,49.57,378.25,Clay
6.66,6.92,309.95,Sandy
6.57,17.09,196.42,Sandy
7.29,16.5,201.76,Peaty
5.51,42.53,100.05,Peaty
7.63,20.16,419.81,Loamy
7.06,40.79,129.87,Sandy
7.25,32.41,68.82,Silty
5.7,17.4,310.6,Peaty
4.54,47.75,367.52,Silty
6.75,28.21,374.85,Silty
6.61,38.1,310.42,Peaty
8.43,26.55,411.81,Clay
5.92,25.58,364.0,Silty
7.8,12.71,347.55,Clay
5.82,37.93,389.49,Clay
6.74,47.0,283.25,Loamy
7.86,12.2,126.3,Loamy
7.32,17.84,223.04,Sandy
5.95,31.81,71.48,Clay
7.57,21.61,351.56,Sandy
6.97,47.53,138.77,Clay
5.66,44.18,94.4,Clay
4.82,47.24,398.3,Peaty
4.96,49.27,362.0,Clay
5.03,44.16,329.47,Peaty
7.78,12.74,331.65,Peaty
6.85,31.02,387.89,Clay
8.16,41.32,59.61,Peaty
8.39,16.75,444.04,Loamy
7.35,47.7,183.97,Clay
4.97,10.83,435.62,Loamy
8.98,15.4,58.4,Clay
6.11,26.23,206.6,Silty
8.52,13.92,374.29,Peaty
7.67,47.53,166.31,Sandy
8.98,13.02,393.88,Silty
7.56,11.92,355.86,Loamy
8.65,48.89,182.7,Silty
8.87,5.12,208.27,Silty
5.5,31.67,72.51,Sandy
6.99,8.3,136.72,Loamy
6.46,7.57,331.54,Clay
5.51,27.8,79.52,Sandy
7.67,48.4,149.9,Clay
7.27,45.47,311.28,Peaty
5.29,44.95,273.48,Silty
6.31,36.04,448.33,Sandy
8.95,11.57,88.9,Loamy
8.57,10.09,119.65,Silty
5.24,22.96,103.3,Peaty
6.66,48.12,287.86,Silty
7.59,10.38,364.56,Silty
7.99,13.05,207.8,Sandy
6.9,12.2,329.98,Sandy
8.3,45.79,373.32,Sandy
4.62,20.42,378.93,Peaty
5.11,33.76,332.78,Peaty
8.3,37.96,409.66,Peaty
6.85,30.57,418.48,Peaty
6.07,35.57,368.62,Peaty
8.14,33.15,165.39,Clay
6.36,7.4,327.64,Clay
5.59,15.64,389.42,Sandy
6.75,17.68,416.43,Peaty
8.99,14.34,227.47,Silty
8.57,6.69,250.13,Loamy
8.04,35.36,202.13,Clay
7.28,6.14,335.52,Peaty
5.08,42.52,235.11,Sandy
7.33,49.69,283.13,Peaty
5.68,5.68,101.8,Loamy
5.82,18.43,119.09,Peaty
6.14,36.13,318.23,Clay
4.66,22.34,83.65,Silty
8.9,26.01,383.0,Sandy
6.92,20.07,377.2,Clay
6.84,46.7,397.02,Loamy
7.15,33.88,123.69,Peaty
6.6,38.12,75.04,Clay
6.0,27.71,211.9,Peaty
6.92,42.36,195.71,Silty
8.07,7.09,385.05,Clay
8.5,25.21,272.11,Sandy
6.7,8.07,59.59,Loamy
8.24,6.14,80.18,Sandy
8.26,29.29,373.89,Sandy
6.6,40.78,331.84,Silty
7.96,43.26,235.7,Sandy
5.8,27.76,134.17,Sandy
7.45,12.29,60.95,Silty
6.83,20.6,207.74,Clay
8.3,9.46,272.47,Peaty
8.92,48.71,360.02,Sandy
6.92,11.45,261.29,Sandy
8.29,25.49,113.33,Silty
5.95,9.76,340.65,Sandy
6.47,16.57,75.84,Peaty
4.66,49.36,349.51,Clay
7.43,21.52,113.15,Sandy
6.92,27.11,188.49,Sandy
5.7,37.69,186.09,Peaty
5.02,18.46,271.37,Silty
4.57,42.8,352.16,Loamy
4.83,28.61,284.05,Sandy
7.05,47.21,100.71,Silty
6.14,46.55,77.15,Peaty
5.55,47.78,298.66,Clay
8.74,41.11,241.83,Silty
8.44,26.61,276.13,Clay
7.43,17.77,131.93,Clay
5.1,13.64,226.2,Clay
6.78,44.25,65.83,Silty
8.63,48.62,347.88,Loamy
7.34,34.54,338.29,Silty
5.32,12.95,361.9,Clay
5.86,36.62,223.41,Peaty
7.01,20.44,216.56,Peaty
7.7,48.93,219.14,Sandy
4.86,39.99,101.1,Loamy
8.12,44.96,133.66,Silty
5.1,45.36,352.28,Peaty
6.74,16.6,374.82,Peaty
4.65,31.76,309.08,Loamy
6.28,19.03,323.79,Clay
7.85,28.17,238.5,Peaty
7.05,46.22,262.8,Loamy
7.76,34.4,143.84,Peaty
6.17,33.68,195.22,Loamy
7.46,6.53,286.44,Loamy
8.02,39.19,266.58,Clay
8.97,43.05,405.84,Loamy
8.54,8.85,402.97,Clay
8.48,7.51,415.31,Silty
6.18,17.08,51.64,Peaty
5.48,47.42,195.95,Loamy
5.81,24.97,177.12,Sandy
5.41,24.09,334.41,Sandy
7.37,38.17,331.89,Peaty
8.59,31.51,189.71,Peaty
5.13,40.25,389.97,Silty
7.29,7.36,303.08,Sandy
4.96,10.99,265.85,Silty
5.07,33.23,285.01,Silty
8.99,27.67,413.1,Loamy
6.23,40.56,348.99,Loamy
7.0,25.94,387.32,Silty
6.82,32.65,135.66,Loamy
4.93,21.84,391.6,Silty
8.24,49.46,425.71,Loamy
4.57,46.96,141.23,Clay
7.15,13.51,357.81,Loamy
8.74,46.53,357.17,Peaty
7.12,15.44,362.41,Loamy
6.28,13.21,196.44,Sandy
8.87,18.7,142.21,Sandy
8.86,37.05,315.51,Peaty
5.67,18.74,396.78,Sandy
6.63,30.08,328.53,Silty
4.92,26.94,438.68,Silty
6.02,45.05,410.7,Peaty
5.45,20.3,383.17,Clay
5.87,23.19,316.92,Peaty
5.48,32.25,375.26,Sandy
7.56,43.5,136.81,Peaty
8.4,39.6,109.32,Loamy
5.35,9.25,71.43,Loamy
8.93,24.41,432.36,Sandy
5.83,44.47,309.64,Clay
6.15,13.91,120.17,Sandy
7.6,16.64,394.2,Peaty
5.42,44.03,142.51,Clay
5.17,37.21,269.83,Sandy
5.22,40.07,87.05,Clay
7.36,38.77,357.48,Loamy
5.25,25.3,279.41,Loamy
5.53,15.17,329.43,Peaty
7.94,17.56,315.35,Loamy
7.04,26.52,192.03,Loamy
6.02,29.88,223.91,Silty
4.84,17.73,152.68,Silty
4.61,45.48,282.18,Sandy
8.5,15.3,302.17,Clay
6.94,32.56,316.88,Sandy
8.55,32.71,65.09,Loamy
5.52,35.52,238.12,Clay
7.36,39.52,69.73,Sandy
5.11,23.15,296.12,Sandy
7.36,23.53,398.67,Sandy
6.37,47.11,243.92,Peaty
6.36,30.08,384.7,Loamy
8.95,34.66,234.3,Sandy
5.84,28.46,390.15,Loamy
5.69,36.19,138.26,Loamy
6.83,12.86,116.18,Sandy
5.08,6.73,76.83,Loamy
8.28,27.88,316.61,Silty
8.88,49.28,110.71,Peaty
6.81,15.58,441.78,Peaty
6.11,35.52,90.1,Sandy
5.82,13.2,438.45,Peaty
5.49,45.52,225.4,Loamy
5.94,16.04,221.34,Peaty
5.49,6.5,400.58,Loamy
8.12,24.04,134.9,Sandy
8.21,29.38,213.69,Silty
6.77,15.74,303.1,Clay
4.53,6.89,353.59,Silty
7.98,46.55,297.69,Clay
5.08,24.74,347.0,Clay
7.7,31.18,200.51,Loamy
5.98,46.93,169.48,Silty
7.16,35.49,172.68,Sandy
5.8,43.25,213.15,Loamy
7.15,49.07,92.91,Loamy
7.93,13.72,188.86,Silty
4.93,29.66,359.98,Clay
4.52,39.74,129.68,Silty
6.03,23.68,135.05,Sandy
7.64,28.67,406.17,Sandy
6.31,16.89,105.08,Sandy
4.59,8.41,250.73,Peaty
8.35,49.65,410.09,Sandy
8.6,16.67,402.56,Silty
7.3,39.41,383.28,Sandy
7.18,5.86,297.2,Clay
6.95,22.03,379.17,Silty
8.56,11.23,99.13,Sandy
5.47,45.21,62.52,Silty
4.52,49.55,194.59,Clay
5.68,33.76,123.51,Sandy
5.32,14.18,204.53,Silty
8.14,26.03,246.44,Clay
6.46,5.88,370.48,Loamy
7.53,14.2,360.76,Clay
6.66,47.36,176.47,Silty
5.8,42.79,167.72,Silty
6.34,16.58,397.5,Clay
5.24,16.49,274.66,Loamy
7.62,27.15,437.68,Sandy
6.93,32.22,413.18,Sandy
7.56,44.85,58.4,Loamy
8.97,23.22,286.4,Peaty
5.21,37.15,420.52,Peaty
4.81,33.39,306.57,Peaty
6.09,12.97,326.76,Clay
4.71,43.66,348.98,Clay
5.81,20.28,315.96,Sandy
8.64,34.88,125.62,Peaty
5.87,32.16,329.2,Clay
6.21,32.52,104.11,Silty
4.64,12.0,296.76,Clay
5.9,47.53,148.12,Clay
7.23,13.91,398.96,Silty
6.17,40.82,374.54,Peaty
8.95,48.96,184.9,Clay
6.38,33.47,183.47,Peaty
6.19,16.1,353.86,Loamy
8.77,32.84,228.32,Clay
5.55,6.1,301.16,Clay
6.61,16.04,280.61,Sandy
4.63,30.79,369.64,Silty
6.89,32.37,163.85,Loamy
4.79,12.65,292.3,Clay
5.38,14.74,401.9,Clay
7.7,43.3,178.55,Silty
5.96,23.12,191.58,Sandy
7.23,32.34,143.94,Peaty
4.61,7.79,320.04,Clay
5.79,25.88,351.15,Silty
6.96,6.82,68.35,Clay
6.41,45.72,317.86,Peaty
5.71,42.87,326.63,Sandy
5.66,21.72,84.79,Silty
5.93,30.73,406.14,Sandy
8.84,13.62,193.65,Peaty
6.05,44.67,216.81,Sandy
4.52,37.01,175.16,Silty
8.66,26.44,177.93,Peaty
7.46,24.18,171.25,Loamy
6.58,24.94,246.06,Loamy
7.56,28.95,446.08,Loamy
4.66,31.76,438.5,Clay
6.29,41.46,448.14,Silty
7.03,33.62,249.18,Clay
6.75,45.45,61.41,Sandy
8.07,39.76,198.51,Peaty
6.33,16.87,103.08,Loamy
4.51,15.94,283.41,Clay
7.76,12.58,159.73,Loamy
4.55,36.23,383.81,Peaty
6.5,27.26,71.47,Silty
4.81,40.36,114.46,Clay
6.19,16.95,137.04,Sandy
8.34,12.87,220.57,Peaty
6.65,22.47,139.43,Peaty
8.29,48.07,178.08,Sandy
7.44,31.25,194.91,Silty
8.43,25.24,102.58,Sandy
5.4,30.06,102.84,Silty
8.68,45.31,162.69,Sandy
6.37,47.18,281.26,Clay
5.23,9.56,419.02,Peaty
6.82,46.92,154.69,Peaty
8.51,35.49,233.9,Peaty
7.01,35.58,416.7,Silty
5.23,5.89,121.89,Peaty
7.16,30.67,443.12,Loamy
5.05,11.14,222.64,Silty
8.09,13.33,350.05,Sandy
5.46,19.84,400.78,Silty
8.98,43.24,370.99,Loamy
7.56,5.38,304.64,Clay
8.16,31.26,391.13,Loamy
6.63,40.65,348.66,Peaty
5.0,5.11,208.5,Silty
8.8,14.87,327.14,Loamy
5.74,47.06,110.65,Sandy
5.96,21.73,417.72,Sandy
4.65,40.43,137.07,Peaty
5.81,24.96,336.99,Sandy
8.53,12.53,138.92,Clay
6.61,33.85,276.7,Peaty
7.05,10.69,305.69,Sandy
8.1,11.72,231.59,Clay
6.45,8.36,385.64,Clay
7.57,40.59,168.03,Silty
5.46,9.9,138.18,Clay
6.68,12.54,255.55,Silty
6.17,12.76,132.76,Silty
6.28,13.73,200.02,Silty
7.75,28.88,312.24,Silty
5.95,10.85,316.21,Silty
5.96,20.1,69.87,Sandy
7.94,22.23,243.02,Peaty
7.38,14.41,136.58,Peaty
7.56,32.48,256.36,Silty
7.73,19.86,404.74,Silty
7.25,47.26,353.5,Loamy
7.76,43.11,310.14,Silty
5.07,23.26,187.14,Silty
8.53,20.15,269.58,Silty
5.58,19.91,107.28,Loamy
7.55,37.61,76.15,Silty
8.44,25.17,110.23,Peaty
7.71,12.54,423.15,Silty
5.8,43.68,352.27,Sandy
8.92,7.22,363.25,Clay
8.49,22.81,400.56,Clay
6.84,29.25,268.3,Clay
4.72,47.06,227.86,Loamy
6.77,21.68,173.61,Peaty
5.04,17.18,193.03,Loamy
5.76,19.75,354.04,Peaty
8.4,43.75,283.66,Sandy
8.59,25.79,350.58,Clay
8.75,29.25,191.8,Sandy
5.06,43.47,305.38,Loamy
4.9,21.43,60.95,Sandy
4.54,9.38,345.72,Loamy
5.32,12.85,350.49,Clay
7.07,44.72,128.89,Sandy
7.14,19.18,290.78,Clay
7.14,28.08,146.32,Peaty
6.49,19.48,198.7,Peaty
5.14,17.64,400.43,Loamy
5.32,9.35,324.99,Sandy
6.41,6.5,206.05,Clay
7.22,37.23,351.06,Peaty
7.01,23.41,99.48,Sandy
7.92,23.68,301.75,Sandy
4.93,46.01,124.13,Peaty
7.2,23.52,328.2,Sandy
7.61,30.51,205.54,Sandy
5.24,34.25,207.79,Peaty
7.76,48.35,210.59,Loamy
4.94,34.58,282.64,Silty
4.72,5.94,285.7,Silty
7.33,29.55,184.27,Clay
6.33,27.49,214.09,Clay
5.42,46.49,101.33,Silty
5.25,12.09,436.01,Peaty
8.99,19.43,215.6,Clay
4.56,43.97,135.26,Peaty
5.03,46.0,356.5,Loamy
8.69,29.45,357.99,Sandy
5.62,18.56,259.98,Sandy
8.83,34.79,139.06,Clay
7.28,21.48,440.8,Silty
6.2,32.84,236.51,Sandy
5.74,44.63,413.7,Silty
5.05,17.81,252.09,Loamy
8.18,42.88,80.39,Peaty
7.29,5.68,263.96,Silty
4.52,13.98,152.11,Loamy
7.52,23.52,72.61,Peaty
6.58,36.87,358.52,Silty
6.26,20.5,285.82,Loamy
8.33,8.6,348.18,Peaty
6.16,11.08,175.88,Silty
6.94,35.83,351.35,Silty
5.13,45.34,330.49,Sandy
5.12,17.58,171.54,Clay
7.52,26.23,260.51,Clay
5.06,43.24,449.22,Peaty
4.87,44.9,291.9,Sandy
6.69,14.07,105.99,Peaty
5.16,10.89,429.85,Silty
7.2,35.56,67.94,Loamy
5.42,22.76,314.42,Clay
5.36,6.64,148.48,Peaty
7.84,48.49,247.84,Loamy
5.47,5.87,257.1,Peaty
4.66,33.55,156.59,Silty
8.05,45.21,365.44,Peaty
4.53,47.12,440.78,Loamy
6.68,30.29,329.41,Sandy
5.14,9.21,99.1,Loamy
7.25,44.7,438.48,Silty
6.07,21.49,310.39,Loamy
4.56,20.45,379.31,Peaty
5.67,19.88,334.62,Clay
6.57,43.65,385.62,Peaty
4.79,49.55,70.85,Loamy
5.62,6.42,149.02,Clay
5.6,5.45,430.78,Peaty
5.59,41.79,214.93,Silty
5.27,8.29,242.08,Peaty
4.52,5.3,104.65,Peaty
6.77,45.25,396.97,Loamy
8.33,49.07,190.17,Peaty
8.94,11.87,127.17,Peaty
4.97,39.04,438.56,Peaty
8.74,49.27,53.66,Clay
6.73,33.68,246.49,Peaty
8.04,26.93,379.96,Peaty
7.14,8.98,142.68,Loamy
4.77,29.51,440.48,Loamy
5.62,44.27,188.33,Sandy
4.7,15.32,443.81,Sandy
4.68,39.17,92.24,Clay
5.62,46.81,359.04,Peaty
8.9,18.34,84.66,Peaty
7.26,29.71,448.67,Sandy
4.94,15.69,322.41,Clay
6.26,9.32,381.09,Clay
8.89,30.77,332.05,Peaty
8.71,44.38,50.21,Loamy
7.61,20.53,257.24,Silty
6.36,36.26,104.98,Sandy
5.4,48.33,110.53,Sandy
5.31,26.97,213.66,Peaty
7.59,32.83,207.77,Sandy
5.7,11.7,234.22,Silty
7.99,47.43,240.37,Loamy
7.66,21.93,378.91,Peaty
6.37,16.42,252.71,Clay
8.91,43.81,252.02,Clay
4.71,25.7,150.94,Sandy
8.04,39.19,214.66,Loamy
8.95,36.45,404.97,Sandy
8.76,42.4,196.95,Loamy
6.59,14.55,386.3,Silty
4.75,49.45,233.41,Silty
7.88,48.6,257.85,Loamy
6.99,7.17,66.47,Sandy
4.56,23.75,423.26,Silty
7.74,32.6,216.14,Silty
4.64,30.04,91.62,Silty
7.28,11.2,110.78,Silty
8.73,46.69,189.45,Loamy
5.71,6.34,353.36,Sandy
4.84,43.16,92.69,Sandy
5.53,16.15,358.34,Clay
7.68,12.08,369.85,Sandy
8.24,43.02,225.23,Loamy
6.96,10.42,331.4,Peaty
8.38,27.11,141.64,Loamy
8.15,22.31,330.69,Peaty
7.75,17.7,445.82,Silty
7.28,41.09,180.46,Peaty
6.07,26.68,149.1,Silty
8.22,48.91,347.98,Peaty
6.12,31.82,238.91,Loamy
7.04,29.97,296.74,Clay
8.32,35.98,298.67,Silty
8.57,41.43,441.1,Clay
5.97,43.63,362.49,Loamy
7.65,29.92,276.76,Sandy
6.86,19.66,229.0,Peaty
4.94,37.09,267.98,Silty
4.89,17.44,234.86,Silty
7.67,23.45,425.62,Silty
5.24,41.13,403.47,Silty
8.4,43.43,186.84,Clay
4.98,30.47,293.75,Loamy
6.56,36.5,51.99,Clay
5.61,15.95,99.13,Sandy
5.75,7.66,294.22,Peaty
6.31,14.96,299.26,Clay
6.99,31.72,279.09,Loamy
7.15,37.43,370.83,Peaty
8.32,32.62,178.57,Sandy
6.72,11.94,295.69,Silty
9.0,7.33,205.93,Silty
4.75,20.12,285.6,Clay
4.51,38.79,90.9,Loamy
5.46,42.62,387.02,Clay
4.62,31.37,158.92,Sandy
8.69,17.58,182.04,Silty
5.13,14.07,296.21,Loamy
8.77,8.29,187.59,Loamy
8.16,11.88,287.49,Sandy
6.78,43.62,161.82,Silty
5.43,14.21,379.3,Silty
5.09,34.39,140.34,Sandy
8.17,42.62,298.72,Clay
6.0,7.26,158.71,Peaty
6.57,8.24,86.29,Silty
4.9,44.13,292.91,Silty
5.39,35.99,393.22,Silty
7.17,32.34,408.54,Peaty
6.42,28.58,102.69,Clay
8.23,20.92,225.35,Silty
5.54,36.25,444.44,Loamy
4.93,22.01,440.84,Silty
5.35,13.93,355.39,Clay
7.33,17.0,165.89,Loamy
5.18,45.72,132.38,Peaty
7.51,5.63,190.46,Silty
4.74,8.48,405.76,Sandy
8.11,48.23,269.96,Sandy
6.4,11.19,168.02,Silty
6.74,11.46,238.43,Sandy
8.23,42.26,440.02,Clay
6.47,5.65,134.57,Sandy
8.79,45.44,381.55,Loamy
8.5,9.0,345.08,Silty
5.74,31.15,78.92,Loamy
7.14,9.66,155.15,Sandy
6.65,42.1,430.28,Peaty
6.0,19.44,249.16,Loamy
8.56,32.35,97.16,Sandy
5.05,49.58,391.82,Silty
6.47,14.08,368.41,Peaty
4.77,42.97,302.82,Silty
4.64,30.5,108.81,Peaty
5.06,25.18,343.81,Loamy
8.1,44.7,96.98,Silty
6.83,12.44,247.51,Sandy
5.47,32.5,260.86,Sandy
5.86,28.82,163.22,Loamy
7.13,47.44,323.05,Silty
7.74,40.43,385.79,Silty
8.99,20.17,132.13,Clay
6.89,21.58,389.6,Silty
8.38,25.87,333.15,Sandy
7.98,33.0,301.25,Clay
8.91,39.23,141.37,Sandy
6.05,27.3,120.3,Sandy
8.31,26.5,104.69,Silty
8.32,33.3,179.24,Sandy
5.39,20.9,445.43,Silty
4.96,38.58,187.08,Silty
4.63,17.64,409.39,Clay
7.17,43.74,213.56,Peaty
8.55,35.07,133.34,Sandy
7.96,20.0,165.17,Peaty
6.42,21.23,109.51,Silty
8.88,10.43,183.81,Silty
8.49,24.63,372.77,Peaty
5.24,24.8,188.84,Clay
6.03,33.77,174.77,Peaty
6.48,19.83,443.87,Sandy
4.68,33.51,226.61,Clay
7.43,7.55,206.25,Loamy
6.36,49.14,275.07,Loamy
5.46,19.73,112.95,Silty
5.47,14.32,80.94,Sandy
8.79,33.26,282.84,Peaty
7.25,34.94,51.35,Loamy
8.9,38.08,292.28,Silty
6.43,7.59,126.83,Clay
7.51,46.58,219.48,Loamy
5.49,48.03,78.29,Loamy
7.45,44.08,304.31,Loamy
7.35,44.91,218.19,Clay
4.82,12.65,263.81,Peaty
6.36,26.27,259.1,Loamy
6.44,11.72,85.57,Loamy
5.54,23.6,206.06,Peaty
7.64,16.94,223.05,Silty
8.94,5.36,439.73,Sandy
7.68,37.64,245.03,Sandy
8.67,48.72,81.82,Loamy
6.9,12.92,329.2,Clay
5.3,26.18,390.23,Clay
5.97,25.67,313.43,Silty
7.37,13.11,405.0,Peaty
8.81,49.89,392.61,Silty
5.86,48.08,402.86,Sandy
6.69,33.89,116.81,Sandy
5.03,49.96,434.57,Peaty
5.39,37.76,355.07,Clay
8.45,40.15,283.08,Sandy
4.85,25.76,268.68,Sandy
5.39,6.09,407.9,Clay
7.15,11.83,175.99,Sandy
6.67,47.97,174.19,Clay
8.74,33.98,311.27,Clay
5.35,22.41,185.05,Clay
7.26,13.01,76.22,Peaty
6.55,14.81,304.21,Silty
8.47,12.77,50.37,Clay
5.97,22.72,360.74,Silty
7.82,22.88,438.4,Loamy
5.31,34.33,403.2,Sandy
5.79,36.13,433.22,Sandy
7.19,43.7,443.94,Loamy
6.61,17.54,383.26,Clay
8.72,11.98,337.51,Clay
6.32,20.23,105.7,Clay
8.73,45.36,278.41,Loamy
8.69,6.48,403.47,Silty
7.86,22.49,206.77,Silty
5.36,47.0,120.88,Loamy
6.56,47.95,431.26,Sandy
7.66,21.66,84.42,Clay
7.31,17.98,192.47,Silty
8.76,21.96,408.05,Sandy
6.03,31.33,249.48,Sandy
5.46,48.69,85.09,Loamy
6.28,7.04,368.31,Silty
8.81,6.23,93.02,Sandy
5.99,7.94,155.14,Clay
5.15,16.88,243.2,Silty
7.62,7.58,300.66,Loamy
6.52,30.64,80.13,Silty
8.3,45.96,143.71,Peaty
6.8,19.28,81.46,Sandy
8.88,12.05,121.68,Silty
8.56,44.95,277.62,Clay
7.02,13.69,97.2,Sandy
7.05,45.35,449.04,Peaty
4.91,11.43,215.34,Peaty
7.17,5.26,61.52,Peaty
5.51,39.4,130.36,Silty
6.6,26.62,264.23,Silty
6.44,43.8,262.42,Peaty
6.34,20.45,192.05,Peaty
8.77,26.17,226.64,Peaty
4.7,19.46,52.03,Silty
6.5,29.27,133.09,Loamy
6.86,7.37,197.95,Sandy
7.42,6.6,273.6,Sandy
8.9,42.78,93.01,Silty
5.48,44.17,159.06,Clay
6.9,19.71,148.58,Silty
7.14,49.43,324.8,Silty
4.6,8.89,374.43,Clay
6.43,15.01,388.14,Sandy
8.9,5.5,259.28,Clay
8.13,34.08,134.15,Clay
5.34,9.52,228.59,Loamy
8.38,31.91,435.02,Peaty
6.87,47.44,194.88,Clay
8.96,35.37,380.22,Peaty
7.59,8.55,222.39,Silty
5.28,32.21,76.69,Silty
7.7,19.82,151.98,Sandy
4.65,33.06,253.38,Sandy
5.83,10.16,362.82,Peaty
6.32,11.26,128.04,Loamy
8.85,38.5,249.5,Peaty
5.44,5.14,368.68,Clay
8.92,20.01,225.67,Clay
8.0,19.53,292.81,Loamy
7.77,36.83,172.46,Silty
8.52,21.23,116.93,Silty
8.52,13.22,272.7,Clay
7.0,30.34,417.41,Sandy
5.81,43.81,267.67,Peaty
8.26,18.87,195.35,Loamy
4.51,25.45,90.68,Clay
6.65,20.39,350.46,Loamy
4.94,17.07,367.93,Sandy
4.62,24.16,436.23,Peaty
6.89,30.56,222.67,Loamy
6.66,19.91,206.3,Clay
8.92,17.25,429.04,Loamy
5.31,38.43,345.34,Loamy
7.25,16.68,181.03,Clay
7.49,7.39,317.13,Silty
5.76,23.09,198.34,Loamy
8.18,32.97,150.77,Silty
7.66,43.39,57.86,Clay
5.45,25.32,419.4,Peaty
6.88,20.01,391.77,Silty
5.17,20.36,348.34,Peaty
6.77,13.66,288.06,Peaty
4.79,15.28,278.1,Sandy
5.01,43.27,231.77,Clay
8.18,6.08,186.77,Loamy
7.63,7.77,232.49,Silty
5.37,21.64,360.54,Peaty
6.89,22.9,307.04,Clay
5.21,44.87,93.47,Sandy
8.94,13.93,274.71,Loamy
7.16,27.6,350.14,Sandy
8.88,35.22,293.53,Sandy
6.46,11.58,328.57,Clay
6.31,41.93,392.35,Clay
4.95,47.43,411.81,Sandy
5.66,19.77,85.93,Clay
7.66,28.14,59.81,Loamy
8.67,33.78,187.98,Clay
8.46,13.74,275.21,Peaty
7.15,32.23,61.3,Clay
7.98,33.3,268.62,Sandy
8.16,22.08,183.14,Sandy
8.81,33.59,71.3,Sandy
4.83,10.5,101.39,Peaty
5.95,33.79,189.52,Peaty
8.44,44.07,299.02,Peaty
7.86,12.9,314.05,Sandy
5.9,18.98,278.05,Peaty
6.62,23.06,87.91,Silty
7.8,41.37,83.96,Silty
6.68,11.94,255.21,Clay
6.69,24.15,133.48,Silty
8.73,23.06,323.15,Loamy
7.0,46.97,332.97,Silty
